IDOper;a;
IDCoffre;b;
IDJoueur;c;
IDEvt;d;
DateEvt;e;
Login;f;
Pseudo;g;
IPJoueur;h;
IDSession;i;
TypAg;j;
SoldeAvantGain;k;
SoldeApresGain;l;
SoldeApresRembours;m;
SoldeAvantRembours;n;
BonusAvant;o;
BonusApres;p;
BonusMouvement;q;
BonusNom;r;
SoldeAvant;s;
SoldeApres;t;
SoldeMouvement;u;
BonusAvantMise;v;
Mise;w;
BonusApresMise;x;
SoldeAvantMise;y;
SoldeApresMise;z;
Gain;a0;
Perte;a1;
Mise;a2;
Suivre;a3;
SeCouche;a4;
Relance;a5;
Parole;a6;
Tapis;a7;
PreFlop;a8;
Flop;a9;
DateEffective;b0;
DateModif;b1;
DateFin;b2;
Duree;b3;
Interdiction;b4;
Moyen;b5;
LotN;b6;
Valeur;b7;
Prenoms;b8;
Civilite;b9;
DateN;c0;
VilleN;c1;
DptN;c2;
PaysN;c3;
Ad;c4;
CP;c5;
Ville;c6;
Pays;c7;
TelFixe;c8;
TelMob;c9;
Email;d0;
MiseMax;d1;
DepotMax;d2;
PlafondReversementAutomatique;d3;
MontantMM;d4;
PeriodeMM;d5;
TypeJeuMM;d6;
Ident;d7;
Adresse;d8;
Contact;d9;
Moderateur;e0;
PeriodeModer;e1;
LibelModer;e2;
TypeJeuModer;e3;
SeuilModer;e4;
MoyenPaiement;e5;
CauseRefus;e6;
Max;e7;
Min;e8;
Compte;e9;
Gain;f0;
GainAbond;f1;
MontantRembours;f2;
Info;f3;
MontAbond;f4;
MiseAbond;f5;
DateHeure;f6;
Nom;f7;
Tech;f8;
combinatoire;h0;
Xxy;h1;
X;h2;
Cote;h3;
Combi;h4;
No;h5;
Lig;h6;
Pari;h7;
DescPari;h8;
Desc;h9;
Clair;i5;
Type;i6;
Choix;i7;
DateMise;i9;
IDPartie;j0;
IDTable;j1;
JSiege;j2;
TotalMise;j3;
MiseOrdre;j4;
JMontant;j5;
TabCarte;j6;
CarteJoueur;j7;
DateEnchere;j8;
DescTournoi;j9;
DateTournoi;k0;
TournoiNbJoueurQualification;k1;
TournoiNbJeton;k2;
Joueur;k3;
JCave;k4;
PetiteBlind;k5;
GrosseBlind;k6;
Ante;k7;
Main;k8;
carte;k9;
MainMax;l0;
Decouverte;l1;
DateEnchere;l2;
SoldeApresRevers;l3;
CaveRevers;l4;
SoldeAvantRevers;l5;
Tournant;l6;
Riviere;l7;
CauseRefus;l8;
TypeRefus;l9;
SoldeClos;m0;
DateDemande;m1;
DateEffective;m2;
TypeMoyenPaiement;m3;
TypeAbondement;m4;
IDInscription;m5;
NbMinJ;m6;
NbMaxJ;m7;
CaveMin;m8;
CaveMax;m9;
NbJeton;n0;
UniteJeton;n1;
TypPoker;n2;
StructurePartie;n3;
DateDebutObs;n4;
DateFinObs;n5;
DateGain;n6;
DateAnnule;n7;
DateRevers;n8;
SoldeAvantRevers;n9;
CaveRevers;o0;
SoldeApresRevers;o1;
OUVINFOPERSO;r0;
PREFCPTE;r1;
MODIFINFOPERSO;r2;
OKCONDGENE;r3;
OUVOKCONFIRME;r4;
ACCESREFUSE;r5;
AUTOINTERDICTION;r6;
CLOTUREDEM;r7;
CPTEALIM;r8;
CPTERETRAIT;r9;
CPTEABOND;s0;
CPTEALIMOPE;s1;
LOTNATURE;s2;
PAHIMISE;s3;
PAHIANNUL;s4;
PAHIGAIN;s5;
PASPMISE;s6;
PASPANNUL;s7;
PASPGAIN;s8;
POINSCRIT;s9;
POCAVE;t0;
POPARTIE;t1;
POOBS;t2;
POGAIN;t3;
POANNUL;t4;
POREVERS;t5;
1Pi;1;
2Pi;2;
3Pi;3;
4Pi;4;
5Pi;5;
6Pi;6;
7Pi;7;
8Pi;8;
9Pi;9;
10Pi;10;
VPi;11;
DPi;12;
RPi;13;
1Co;14;
2Co;15;
3Co;16;
4Co;17;
5Co;18;
6Co;19;
7Co;20;
8Co;21;
9Co;22;
10Co;23;
VCo;24;
DCo;25;
RCo;26;
1Ca;27;
2Ca;28;
3Ca;29;
4Ca;30;
5Ca;31;
6Ca;32;
7Ca;33;
8Ca;34;
9Ca;35;
10Ca;36;
VCa;37;
DCa;38;
RCa;39;
1Tr;40;
2Tr;41;
3Tr;42;
4Tr;43;
5Tr;44;
6Tr;45;
7Tr;46;
8Tr;47;
9Tr;48;
10Tr;49;
VTr;50;
DTr;51;
RTr;52;
DelaiInterdit;1;
RejetIdentite;2;
Interdit;3;
AutoInterdit;4;
OpVerrouile;5;
Verrouille;6;
Cloture;7;
CarteBancaire;1;
Virement;2;
Intermediaire;3;
MonnaieElectronique;4;
Ouverture;1;
RakeBack;2;
HautFait;3;
Code;4;
Offre;5;
